"name","player_id","arm_angle","velo","spin_rate","ivb","extension","whiff_rate"
"Tyler Kinley",641755,45,95.8,2364,14.9,5.54,0.117
"Will Warren",701542,25,93.8,2503,15,6.73,0.246
"Dylan Lee",669276,45.4,92.4,2251,19.1,6.3,0.193
"Cade Smith",671922,37.6,96,2280,16,7.36,0.304
"Jakob Junis",596001,29.1,92.5,2221,13.6,6.16,0.204
"DJ Herz",687792,37.2,93.5,2325,15.9,6.72,0.305
"Paul Skenes",694973,23.3,98.8,2244,10.6,6.43,0.242
"Yunior Marte",628708,33.1,97.2,2398,14.7,6.14,0.111
"Gordon Graceffo",700669,47.8,93.6,1928,14.2,6.64,0.167
"Seranthony Domínguez",622554,29.5,97.7,2400,14.6,6.55,0.215
"John McMillon",669111,40.7,95.3,2225,16.8,6.9,0.182
"Carlos Rodón",607074,45.4,95.4,2384,17.8,6.12,0.214
"Reed Garrett",657585,36.9,96.8,2342,16.4,6.24,0.27
"Giovanny Gallegos",606149,58.3,92.2,2313,17.4,5.73,0.069
"Jack Kochanowicz",686799,28.2,96.2,2164,13.3,6.44,0.364
"Joel Payamps",606303,30.2,94.8,2451,15.3,6.32,0.34
"Ben Brown",676962,42.5,96.4,2222,16.4,6.76,0.185
"Joe Kelly",523260,28,98.1,2177,13.1,6.27,0.159
"Bobby Miller",676272,47.4,97.6,2297,16.6,6.87,0.178
"Jack O'Loughlin",672552,34,91.8,2221,14,6.47,0.064
"Ryder Ryan",656924,30.5,94.1,2354,12.7,6.3,0.192
"Robert Garcia",676395,24.5,94.5,2226,13.6,6.65,0.249
"Sean Reynolds",669308,40.6,96.9,2444,17.9,6.87,0.354
"Christian Scott",681035,32,94.2,2235,15.4,6.95,0.22
"Gerardo Reyes Jr.",622103,23.4,94.7,2333,16.8,5.6,0.16
"José Cisnero",542585,27,95.2,2418,16,6.2,0.316
"Paul Sewald",623149,15.9,91.4,2515,13.5,6.48,0.243
"George Soriano",666277,21.4,94.1,2124,11.2,6.38,0.196
"Taijuan Walker",592836,40.6,91.5,2070,17,5.98,0.232
"Nick Anderson",623433,46.9,94.7,2182,15.4,6.03,0.176
"Matt Moore",519043,43.9,92.7,2249,17.4,6.12,0.21
"Javier Assad",665871,54.8,91.5,2036,16.5,6.52,0.198
"Dean Kremer",665152,41,93.4,2278,18,6.21,0.231
"Richard Lovelady",663992,18.6,92.4,2344,14,7.23,0.241
"Simeon Woods Richardson",680573,46.8,93.1,2186,17.5,6.71,0.219
"Deivi García",665620,39.2,95.1,2256,17.3,6.51,0.347
"Merrill Kelly",518876,25.4,91.9,2389,14.5,6.06,0.2
"Matthew Boyd",571510,26.3,92,2341,13.8,6.36,0.238
"David Festa",701581,56.4,94.7,2349,18,6.96,0.194
"Nick Lodolo",666157,18.5,94.2,2331,10.5,6.21,0.276
"Michael Lorenzen",547179,42.6,93.8,2387,15.6,5.84,0.184
"J.P. Feyereisen",656420,46.6,91.7,2423,18.7,5.97,0.182
"Bowden Francis",670102,40.2,92.9,2364,17.9,6.81,0.185
"Jacob Webb",657097,32,93.5,2466,16.5,6.28,0.267
"Justin Martinez",679885,42,100.5,2229,13.6,6.32,0.27
"Anthony Banda",607455,34.3,96.1,2184,14.3,6.36,0.216
"Andrew Chafin",605177,49.9,91.7,2172,16.5,6.64,0.182
"Cody Poteet",547001,39.1,93.3,2415,15.5,5.98,0.19
"A.J. Puk",640462,28.5,95.6,2266,14.3,7.07,0.317
"Blake Snell",605483,57.1,95.9,2435,18.7,6.84,0.244
"Justin Verlander",434378,54.8,93.5,2395,19.3,5.94,0.204
"Yariel Rodriguez",684320,39.8,93.9,2360,11.7,6.58,0.227
"Sammy Peralta",671111,12.1,88.8,2156,6.9,6.62,0.102
"Tanner Banks",621383,48.8,93.6,2257,15.7,5.97,0.282
"Kyle Tyler",667725,61.5,90.6,2107,11.8,6.97,0.163
"Buck Farmer",571656,29.8,92.7,2362,14.1,6.07,0.155
"Dedniel Núñez",673380,38.8,96.3,2520,16.1,6.38,0.252
"Raisel Iglesias",628452,33.5,95.6,2299,15.3,6.19,0.319
"Gus Varland",681402,48.4,95.3,2370,18.1,6.53,0.227
"Bryan Woo",693433,26.9,94.8,2280,15.3,6.59,0.275
"Sam Aldegheri",691951,37.9,92.2,2289,15.7,5.61,0.194
"Chase Anderson",502624,42.8,93.6,2242,15.6,5.9,0.222
"Jacob Latz",656641,50.6,94.9,2337,18.5,6.64,0.224
"Kyle Leahy",681517,46,95.5,2273,16.2,7.22,0.191
"Kris Bubic",663460,41.1,93,2364,17.8,6.86,0.347
"Tyler Alexander",641302,35.9,89.7,2301,17.7,6.21,0.249
"Jacob Lopez",682052,24.2,90.6,2134,11.8,6.99,0.125
"Jordan Weems",607179,48.9,96,2102,16.8,6.58,0.17
"Devin Williams",642207,23.4,94.7,2356,15.8,7.31,0.327
"Logan Allen",671106,44.6,91.2,2139,15.8,6.36,0.146
"Andrew Abbott",671096,45,92.8,2254,16.3,6.63,0.194
"Max Meyer",676974,46.1,94.1,2386,15.1,6.43,0.138
"Bailey Falter",663559,56,91.8,2039,17.7,7.35,0.166
"Gabe Speier",642100,28.2,93,2187,15.3,5.8,0.315
"Luis Castillo",622491,15.3,95.6,2155,12.2,5.33,0.273
"John Brebbia",605154,40.7,93.8,2284,17.6,6.59,0.256
"A.J. Minter",621345,42.6,94.5,2421,17.1,6.33,0.2
"Bryan King",687911,37.1,92.1,2223,14.7,6.53,0.245
"Quinn Priester",682990,42.6,93.1,2219,13.9,6.42,0.189
"Brent Honeywell Jr.",641703,45.1,94.8,2162,16.1,6.12,0.138
"Zack Wheeler",554430,24.6,95.3,2431,14.6,7.24,0.296
"Michael Wacha",608379,51.5,93.6,2131,17.9,6.76,0.169
"Jesús Luzardo",666200,39.3,95.2,2209,15.4,5.69,0.125
"Ty Madden",680744,39.7,94.4,2293,17.1,6.16,0.157
"Brandon Bielak",656232,45.6,91.9,2432,15.1,5.55,0.104
"Triston McKenzie",663474,53.9,91.1,2229,19.7,6.83,0.103
"Marco Gonzales",594835,37.2,89.7,2089,15.3,6.48,0.136
"Michael Tonkin",543859,13.2,93.2,2345,11.3,6.22,0.238
"Julian Aguiar",687924,28.4,94.3,2092,13.3,5.89,0.139
"Mason Black",696131,21.9,92.4,2128,14.4,6.81,0.231
"Yoendrys Gómez",672782,41.6,92.4,2348,16.2,7.09,0.195
"Max Scherzer",453286,29.3,92.5,2299,15.9,6.21,0.222
"Jeffrey Springs",605488,42.5,89.8,2127,16.7,6.52,0.17
"Bryan Abreu",650556,45.2,96.7,2356,16.7,6.63,0.284
"Burch Smith",572143,39.1,94.9,2283,17.2,6.81,0.23
"Yennier Cano",666974,17.6,96.5,2297,7.8,6.04,0.296
"Clayton Kershaw",477132,56.7,89.9,2270,17.2,6.46,0.079
"Rob Zastryzny",642239,41.5,91.5,2504,12.6,6.63,0.29
"Mitch Keller",656605,34.7,94.5,2403,14.4,6.5,0.238
"Colin Rea",607067,34.5,93,2173,13.8,6.64,0.25
"Ross Stripling",548389,61.3,91.7,2144,18.1,6.07,0.172
"Sean Manaea",640455,22.1,92.2,2013,10.8,7.07,0.257
"Pierce Johnson",572955,39.2,95.5,2329,15.9,5.93,0.266
"Dan Altavilla",656186,23.5,96.8,2313,13.3,5.89,0.304
"Adam Oller",670124,39.2,93.8,2201,17.2,6.44,0.156
"Héctor Neris",593576,39.9,92.9,2403,16.8,6.14,0.199
"José Buttó",676130,33.4,94.2,2404,15.3,6.25,0.319
