"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Peralta, Freddy",642547,"MIL","FF","4-Seam Fastball",0,1,"1650",53.8,"405","0.239","0.424","0.338",25.2,26.9,19.1,"0.233","0.419","0.331",44.1
"Gore, MacKenzie",669022,"WSH","FF","4-Seam Fastball",-0.2,-3,"1658",55.4,"392","0.281","0.418","0.369",22.6,19.9,17.3,"0.274","0.424","0.349",40.6
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",0.2,3,"1486",50.2,"391","0.281","0.475","0.359",17.4,16.6,16.8,"0.289","0.539","0.384",51.4
"Greene, Hunter",668881,"CIN","FF","4-Seam Fastball",1.4,19,"1415",55.2,"358","0.184","0.273","0.266",24.9,28.5,20.6,"0.195","0.318","0.283",39.4
"Rodón, Carlos",607074,"NYY","FF","4-Seam Fastball",0.1,1,"1530",49.3,"354","0.262","0.514","0.369",21.4,17.2,15,"0.278","0.562","0.39",50.6
"Imanaga, Shota",684007,"CHC","FF","4-Seam Fastball",0.3,4,"1343",51.9,"353","0.23","0.471","0.325",17.7,18.7,17.9,"0.238","0.45","0.317",45.3
"Ragans, Cole",666142,"KC","FF","4-Seam Fastball",0.8,11,"1299",41.7,"342","0.21","0.349","0.3",23.2,26.3,22.3,"0.22","0.36","0.307",40.7
"Parker, Mitchell",680730,"WSH","FF","4-Seam Fastball",0.1,1,"1168",48.6,"333","0.276","0.425","0.338",12,14.7,15.7,"0.281","0.487","0.358",41.4
"Nelson, Ryne",669194,"AZ","FF","4-Seam Fastball",0.4,6,"1341",55.7,"328","0.249","0.418","0.32",19.5,28,19.8,"0.249","0.389","0.308",51.9
"Cease, Dylan",656302,"SD","FF","4-Seam Fastball",0.2,3,"1386",43.5,"324","0.232","0.387","0.342",20.3,19.8,17.2,"0.243","0.433","0.354",44
"Steele, Justin",657006,"CHC","FF","4-Seam Fastball",0.7,8,"1220",59.6,"323","0.25","0.392","0.333",22.4,22,24.3,"0.23","0.335","0.289",37.7
"Harrison, Kyle",690986,"SF","FF","4-Seam Fastball",-0.2,-3,"1197",57.6,"321","0.249","0.425","0.332",23,24.6,20.4,"0.24","0.424","0.327",49.5
"Heaney, Andrew",571760,"TEX","FF","4-Seam Fastball",-0.1,-1,"1397",51.2,"320","0.238","0.415","0.34",21.2,24.7,17.4,"0.237","0.427","0.33",44.7
"Abbott, Andrew",671096,"CIN","FF","4-Seam Fastball",-0.7,-8,"1249",53.5,"317","0.254","0.451","0.36",19.4,18.3,16.1,"0.266","0.463","0.367",43.2
"Gil, Luis",661563,"NYY","FF","4-Seam Fastball",-0.1,-1,"1298",48.7,"310","0.205","0.395","0.319",28.5,28.4,23.3,"0.21","0.37","0.316",42
"Kikuchi, Yusei",579328,"HOU","FF","4-Seam Fastball",-0.1,-2,"1374",47,"303","0.274","0.505","0.351",28,27.4,22,"0.252","0.463","0.325",49
"Castillo, Luis",622491,"SEA","FF","4-Seam Fastball",1,12,"1295",45.3,"301","0.204","0.365","0.279",27.3,31.2,20.8,"0.205","0.383","0.286",44
"Falter, Bailey",663559,"PIT","FF","4-Seam Fastball",0.2,2,"1009",47.2,"300","0.247","0.401","0.32",16.6,17,17.6,"0.247","0.405","0.316",32.7
